Ruby,5,0,Adult,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Female,"Affectionate, Couch potato, Gentle, Loyal, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,43,Plainfield Area Humane Society,14,No
Squiggles,0,0,Young,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Smart, Funny, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",$150.00,,Short,22,Plainfield Area Humane Society,14,No
resso,0,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, children.",$200.00,,Short,82,Animal Rescue Force,14,No
Tessa,0,0,Young,Maine Coon,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$120.00,,Long,94,Animal Rescue Force,14,No
Mo,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Miney,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Meenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Eenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97,Animal Rescue Force,14,No
Malibu,2,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$200.00,,Short,86,Animal Rescue Force,14,No
Noodles,0,0,Adult,Domestic Short Hair & Calico Mix,Calico,Medium,Female,"Friendly, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$120.00,,Short,98,Animal Rescue Force,14,No
Midnight,5,0,Adult,Domestic Short Hair & Bengal Mix,Tabby (Brown / Chocolate),Medium,Male,,,Yes,Vaccinations up to date.,,$120.00,"Other cats, dogs.",Short,150,Animal Rescue Force,14,No
Norma Jean,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,Yes,Vaccinations up to date.,,,,Short,33,"All About Cats Rescue, Inc",14,No
Lance,0,0,Adult,Domestic Short Hair Mix,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,131,Pets4Luv Foundation,14,No
Gizmo,3,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,Vaccinations up to date.,,,,Short,86,Bobbi & the Strays,14,No
SCRABBLE - Sweetie,0,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Female,"Friendly, Gentle, Affectionate, Quiet, Funny, Independent, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$99.98,,Short,350,Edison Municipal Animal Shelter,14,No
BLACK JACK - Adorable Girl!,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,353,Edison Municipal Animal Shelter,14,No
Double Bubble - Sweet and Shy Boy,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic",,Yes,"Spayed / neutered, special needs.",Other cats.,,,Short,355,Edison Municipal Animal Shelter,14,No
JESSUP - Very Loving Boy,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Gentle, Loyal, Playful, Smart, Curious, Loves kisses, Funny",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.97,,Short,355,Edison Municipal Animal Shelter,14,No
