Ally,2,1,Kitten,Domestic Short Hair,Black,Small,Female,", Friendly, Playful, Brave, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,117,Strays Hope for Life,All,Yes
Moonbeam,0,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Moonbeam has seizures and is currently on medication that we hope to wean him off of eventually.",Other cats.,,,Short,345,Happy Homes Animal Rescue,All,Yes
Valentina (Special Needs),5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Snuggly, Calm, Friendly, Sweet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Valentina has eyelid agenesis. It’s a birth defect, in which the eyelid is either missing or deformed. It requires drops which she is quite used to, and it's very easy to do.",Children.,,Other cats.,Short,226,Rosemaries Rescue Ranch,All,Yes
Kiwi,0,0,Young,American Shorthair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. He has a 4/6 heart murmur and needs to be on medication.","Other cats, dogs, children.",,,Short,136,Lend-a-Paw Inc.,All,Yes
Gidget & Casper,3,0,Kitten,Domestic Short Hair,White,Medium,Female,,,,"Vaccinations up to date, special needs.",,,,130,CLAWS,All,Yes
Smokey,4,1,Young,Domestic Short Hair,Smoke,Large,Male,Friendly and Loving,,,"Vaccinations up to date, spayed / neutered, special needs. Back leg amputated.",,,,232,CLAWS,All,Yes
Urgent!! Amber Siamese mix NEEDS FOSTER,2,0,Adult,Siamese & Domestic Short Hair Mix,Blue Point,Medium,Female,"Sweet, scared, Gorgeous",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Needs socialization.",Other cats.,,,88,CLAWS,All,Yes
McDreamy,5,0,Adult,Domestic Long Hair,Gray & White,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Feline Leukemia positive.",,,,Medium,77,CLAWS,All,Yes
Macushla,2,1,Adult,Domestic Short Hair,White,Small,Male,,,Yes,"Vaccinations up to date, special needs.",,,,Short,109,CLAWS,All,Yes
Samson,5,1,Young,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV +.",Other cats.,,,Short,185,"Homeless Animal Rescue Team, Inc.",All,Yes
Stout,2,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Large,Male,"purr machine, sweet and freindly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Stout is positive for FIV.",Other cats.,,,Short,203,Angel Pets Animal Welfare Society Inc.,All,Yes
Oliver,6,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,265,Humane Society of Westchester at New Rochelle,All,Yes
Pepper,6,0,Young,Domestic Short Hair,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,79,Humane Society of Westchester at New Rochelle,All,Yes
zzCourtesy Listing Percy - PLEASE CALL (914) 841-1001.,3,0,Young,American Shorthair,Gray & White,Medium,Male,,,Yes,Special needs. Leg injury.,"Other cats, dogs, children.",,,Short,145,Humane Society of Westchester at New Rochelle,All,Yes
Kissy Face,2,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Kissy Face is a 7 yr old female adorableness with diabetes. She recently started insulin treatment and she is easy going with her injections and eats well every single day! Kissy Face needs a diabetic-experienced home to continue her insulin treatment. Kissy Face went through a rough road for a while, but is healthy, strong and on her way to wellness!.",,,,71,Humane Society of Westchester at New Rochelle,All,Yes
Blunder,2,0,Adult,Tabby,Orange & White,Medium,Male,"Affectionate, Friendly",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,55,Perth Amboy Animal Shelter,All,Yes
Jojo,2,1,Adult,Domestic Short Hair & Tabby Mix,,Medium,Male,"loving, affectionate, friendly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Jojo has stomatitis and had his teeth removed. He will likely need medication on a regular basis, but he is very easy to medicate!.","Other cats, dogs, children.",,,Short,81,"Fur Friends In Need, Inc.",All,Yes
Percy,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,Dogs.,Short,137,Cat Assistance Inc.,All,Yes
Trooper,2,1,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,,,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs.",,,Short,356,Bobbi & the Strays,All,Yes
Emergency Checkers needs a home/foster! Losing foster home!,5,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"sweet, playful, loving, smart",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,565,S.A.R.A. Inc.,All,Yes
Marnie,4,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Loving, gentle, attentive, sweet adorable",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Needs liquid oral meds every other day for allergies.","Other cats, children.",,,Short,111,S.A.R.A. Inc.,All,Yes
RUSTY,3,0,Adult,Domestic Short Hair,Tabby (Orange / Red),Medium,Male,"SWEET, GENTLE",,Yes,"Vaccinations up to date, spayed / neutered, special needs. RUSTY is FIV positive. He is in great condition, perhaps a little chubby, but is in excellent health. RUSTY needs a great home where he will have excellent nutrition and care. FIV cats can live a normal life. The only way FIV is transmitted is when saliva enters the bloodstream via a bite wound. RUSTY is demure and sweet. He has been at NFFAR for over a year and has never had a scuffle with another cat. He gets along well with all of our other cats. Don't let FIV scare you away from this wonderful boy. He will reward you with love and companionship!.",Other cats.,,,Short,174,The National Foundation for Animal Rescue,All,Yes
Aspen,0,0,Young,Tabby,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV+.",,,,Short,92,Alan Purcell Wayne Township Animal Shelter,All,Yes
Free-Roamers,3,0,Adult,Domestic Short Hair Mix,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,213,Lawyers In Defense of Animals (LIDA),All,Yes
Bubba Bogart,6,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,130,Bobbi & the Strays,All,Yes
Heaven,5,0,Young,Domestic Short Hair,Tortoiseshell,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,189,Bobbi & the Strays,All,Yes
Jayel,6,0,Adult,Domestic Short Hair,White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,105,Bobbi & the Strays,All,Yes
Double Bubble - Sweet and Shy Boy,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic",,Yes,"Spayed / neutered, special needs.",Other cats.,,,Short,355,Edison Municipal Animal Shelter,All,Yes
Smuckers,5,1,Adult,Domestic Short Hair,Calico,Large,Female,", Gentle, Affectionate, Friendly, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,271,Posh Pets Rescue,All,Yes
Squiggles,0,0,Young,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Smart, Funny, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",$150.00,,Short,22,Plainfield Area Humane Society,All,Yes
