,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
229,Timmy,5,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Friendly, Affectionate, Loyal, Playful, Smart, Gentle, Curious, Independent, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,41.0,"Friends of Linden Animal Shelter, Inc.",fourteen_days
230,Charlie,6,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Curious",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,51.0,"Friends of Linden Animal Shelter, Inc.",fourteen_days
231,Leo,3,0,Adult,Domestic Short Hair,White,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Loves kisses, Curious",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Hairless,54.0,"Friends of Linden Animal Shelter, Inc.",fourteen_days
232,Snowflake,5,0,Young,Tabby,Tabby (Tiger Striped),Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,43.0,"Friends of Linden Animal Shelter, Inc.",fourteen_days
233,LuLu,3,1,Kitten,Tabby,Tabby (Gray / Blue / Silver),Small,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Brave, Funny, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,,Short,183.0,Eastchester Bay Stray Cat Project,fourteen_days
234,Poe,6,0,Kitten,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,"Affectionate, Friendly, Loyal, Gentle, Playful, Independent, Curious, Smart, Funny, Quiet, Athletic, Dignified, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,117.0,Humane Urban Group,fourteen_days
235,Allan,6,0,Kitten,Domestic Short Hair Mix,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Loyal, Gentle, Playful, Affectionate, Protective, Smart, Brave, Curious, Independent, Dignified, Athletic, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,91.0,Humane Urban Group,fourteen_days
236,Bo,4,1,Adult,Tabby,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Loyal, Quiet, Gentle, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,55.0,"Friends of Linden Animal Shelter, Inc.",fourteen_days
237,Roz,0,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,266.0,"S.T.A.R.T., Save The Animals Rescue Team",fourteen_days
238,Farmer (LE),3,0,Kitten,Domestic Short Hair,Tabby (Orange / Red),Medium,Male,"Playful, Smart, Athletic, Brave",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,223.0,"S.T.A.R.T., Save The Animals Rescue Team",fourteen_days
239,Golden (LE),4,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Medium,Female,"Gentle, Friendly, Quiet, Smart, Independent",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,273.0,"S.T.A.R.T., Save The Animals Rescue Team",fourteen_days
240,Mabel (LE),3,0,Adult,Domestic Short Hair & Calico Mix,Calico,Medium,Female,"Friendly, Affectionate, Gentle, Protective, Brave",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,222.0,"S.T.A.R.T., Save The Animals Rescue Team",fourteen_days
241,Lewis,2,0,Senior,Tabby & American Shorthair Mix,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Independent, Smart, Funny",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,48.0,Zion's Mission Animal Rescue Inc.,fourteen_days
242,Fancy (Courtesy Post),0,0,Senior,Domestic Short Hair,Calico,Medium,Female,"Friendly, Affectionate, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,87.0,"Best Friend Dog and Animal Adoption, Inc.",fourteen_days
243,Lucky,0,0,Senior,Domestic Short Hair,Black,Medium,Male,"Friendly, Affectionate",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,63.0,Happy Tails Animal Rescue,fourteen_days
244,Gino,1,1,Kitten,Domestic Short Hair Mix,Gray & White,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Funny, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,73.0,Alleykattz Rescue,fourteen_days
245,Lucy,0,0,Kitten,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Female,"Friendly, Gentle, Playful, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,95.0,Alleykattz Rescue,fourteen_days
246,Sunny and Cookie,3,0,Young,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Curious, Smart, Funny",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,55.0,Alleykattz Rescue,fourteen_days
247,Tia,0,0,Young,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Female,"Friendly, Gentle, Independent, Smart, Affectionate, Dignified, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",Children.,,,Short,67.0,Alleykattz Rescue,fourteen_days
248,Petra,0,0,Kitten,Manx Mix,Black,Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious, Funny",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,71.0,Alleykattz Rescue,fourteen_days
249,Larry and Moe,0,0,Kitten,Domestic Short Hair Mix,Orange & White,Medium,Male,"Friendly, Affectionate, Playful, Gentle, Smart, Curious, Funny",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,66.0,Alleykattz Rescue,fourteen_days
250,Rubie,0,0,Young,Domestic Short Hair Mix,Buff / Tan / Fawn,Medium,Female,"Friendly, Affectionate, Playful, Curious, Independent, Quiet, Dignified",Yes,Spayed / neutered.,"Other cats, dogs, children, other animals. Note: Older Children.",,,Short,109.0,Alleykattz Rescue,fourteen_days
251,Felix,0,0,Kitten,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Funny, Loves kisses",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,149.0,Alleykattz Rescue,fourteen_days
252,Gracie,0,0,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Playful, Curious, Funny, Loves kisses",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,103.0,Alleykattz Rescue,fourteen_days
253,Aaron,0,0,Young,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Male,"Friendly, Playful, Gentle, Curious, Independent, Funny, Dignified",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,123.0,Alleykattz Rescue,fourteen_days
254,Emily,0,0,Young,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Female,"Friendly, Affectionate, Gentle, Playful, Smart, Curious",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,118.0,Alleykattz Rescue,fourteen_days
255,Sampson,0,0,Kitten,Domestic Short Hair Mix,White,Medium,Male,"Friendly, Affectionate, Playful, Curious, Smart, Funny, Loves kisses",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,70.0,Alleykattz Rescue,fourteen_days
256,Nico and Niki,2,0,Kitten,Domestic Short Hair Mix,Tabby (Tiger Striped),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Curious, Loves kisses, Funny",Yes,Vaccinations up to date.,"Other cats, children.",,,,48.0,Alleykattz Rescue,fourteen_days
257,Daisy,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,81.0,S.A.R.A. Inc.,fourteen_days
258,Daffney,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Playful",Yes,Vaccinations up to date.,Other cats.,,,Short,119.0,S.A.R.A. Inc.,fourteen_days
259,Piper,2,0,Kitten,Domestic Short Hair,Black,Small,Female,"Gentle, Quiet",Yes,Spayed / neutered.,Other cats.,,Children.,Short,155.0,Willow Rescue Foundation Inc.,fourteen_days
260,WOLFY,2,0,Kitten,Domestic Long Hair,Black,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Long,34.0,Friends of Homeless Animals,fourteen_days
261,MAGNOLIA,2,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,"Friendly, Gentle, Playful, Smart, Independent",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,44.0,Friends of Homeless Animals,fourteen_days
262,SAMMY,2,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Gentle, Playful, Smart, Brave, Curious, Funny, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,33.0,Friends of Homeless Animals,fourteen_days
263,Tara & Tilly,3,0,Young,American Shorthair,Tabby (Gray / Blue / Silver),Small,Female,"Friendly, Affectionate, Loyal, Playful, Independent, Quiet",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,61.0,Lend-a-Paw Inc.,fourteen_days
264,Ben & Jerry,0,0,Kitten,Domestic Long Hair,Black,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Long,48.0,Lend-a-Paw Inc.,fourteen_days
265,Pixie,0,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,62.0,CLAWS,fourteen_days
266,Max,4,0,Kitten,Domestic Short Hair,Black,Medium,Male,"Affectionate, Playful, Friendly",Yes,"Vaccinations up to date, spayed / neutered.",,,,,101.0,CLAWS,fourteen_days
267,Squid & Gracie,2,1,Young,Domestic Short Hair,Tortoiseshell,Medium,Female,"Affectionate, Playful, Smart, Funny",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,214.0,CLAWS,fourteen_days
268,"Freedom, Banner, Spangle and Patriot",4,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Playful",Yes,Vaccinations up to date.,Other cats.,,,Short,109.0,CLAWS,fourteen_days
269,Bambi and Sori,6,0,Kitten,Domestic Short Hair,White,Medium,Male,"Affectionate, Gentle, Playful",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,86.0,CLAWS,fourteen_days
270,Sonny,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,Yes,Vaccinations up to date.,,$125.00,,Short,124.0,CLAWS,fourteen_days
271,Ivy,2,0,Kitten,Domestic Short Hair,,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,,32.0,Rescue Haven Foundation,fourteen_days
272,Snow White,2,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Curious, Friendly, Playful",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,125.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
273,Piper,5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Gentle, Friendly, Affectionate, Loves kisses",Yes,Vaccinations up to date.,Other cats.,,,Short,171.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
274,Cecelia,4,0,Kitten,Domestic Short Hair,Gray & White,Medium,Female,"Playful, Friendly, Affectionate",Yes,Vaccinations up to date.,Other cats.,,,Short,184.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
275,Rapunzel,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Female,"Quiet, Gentle, Playful",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,128.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
276,Prince Charming,4,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Curious, Friendly, Playful",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,124.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
277,Elsa,5,0,Kitten,Domestic Short Hair,Orange / Red,Medium,Female,"Friendly, Affectionate, Playful, Curious",Yes,Vaccinations up to date.,"Other cats, children.",,,Short,122.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
278,Aurora,5,0,Kitten,Domestic Medium Hair,Tortoiseshell,Medium,Female,"Friendly, Gentle, Playful",Yes,Vaccinations up to date.,"Other cats, children.",,,Medium,128.0,Angel Pets Animal Welfare Society Inc.,fourteen_days
279,Watts and Jagger,3,0,Kitten,American Shorthair,Black,Small,Male,,Yes,,,,,,93.0,Caring About The Strays (C.A.T.S.) Inc.,fourteen_days
280,Max Bold,3,0,Young,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,,Yes,,Other cats.,,,,27.0,Mama Chris Animal Rescue Inc.,fourteen_days
281,Abetty,2,0,Young,Domestic Short Hair,Black,Medium,Female,,Yes,,Other cats.,,,,24.0,Mama Chris Animal Rescue Inc.,fourteen_days
282,Ghost,0,0,Senior,Domestic Short Hair,White,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,37.0,Humane Society of Westchester at New Rochelle,fourteen_days
283,Courtesy LIsting,0,0,Adult,Domestic Short Hair,Dilute Tortoiseshell,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,79.0,Humane Society of Westchester at New Rochelle,fourteen_days
284,Clarence,0,0,Kitten,Domestic Short Hair,,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,,55.0,Humane Society of Westchester at New Rochelle,fourteen_days
285,Howard,2,0,Kitten,Domestic Short Hair,Black,Small,Male,,Yes,Vaccinations up to date.,"Other cats, dogs.",,,,21.0,Humane Society of Westchester at New Rochelle,fourteen_days
286,Shadow,0,0,Young,Domestic Short Hair,Black,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,38.0,Humane Society of Westchester at New Rochelle,fourteen_days
287,La Leche,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,51.0,Humane Society of Westchester at New Rochelle,fourteen_days
288,Mango,0,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,59.0,Humane Society of Westchester at New Rochelle,fourteen_days
289,Georgio,0,0,Young,Domestic Short Hair,Black & White / Tuxedo,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,35.0,Humane Society of Westchester at New Rochelle,fourteen_days
290,Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364.0,AdvoCat Rescue,fourteen_days
291,Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,fourteen_days
292,Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229.0,AdvoCat Rescue,fourteen_days
293,NJ - Latte,4,0,Kitten,Maine Coon & Domestic Long Hair Mix,Torbie,Medium,Female,"Affectionate, Playful, Independent, Curious, Funny, Quiet, Smart",Yes,Vaccinations up to date.,Other cats.,,Children.,Long,169.0,East Coast Maine Coon Rescue,fourteen_days
294,Cooper,6,0,Young,Domestic Short Hair,Gray & White,Large,Male,"Friendly, Affectionate, Playful, Smart, Funny, Independent",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",,170.0,Posh Pets Rescue,fourteen_days
295,PA - Cinder,3,0,Kitten,Domestic Short Hair,Black,Small,Male,"Funny, Curious, Playful, Friendly",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,Children.,Short,146.0,East Coast Maine Coon Rescue,fourteen_days
296,Lola,2,0,Adult,Torbie,Torbie,Medium,Female,"Friendly, Affectionate, Playful",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,63.0,Cat Assistance Inc.,fourteen_days
297,Timmy,2,0,Kitten,Tabby,Orange & White,Small,Male,"Friendly, Affectionate, Gentle, Playful, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Medium,24.0,Pequannock Animal Shelter,fourteen_days
298,James,0,0,Kitten,Domestic Short Hair,Orange & White,Large,Male,"Friendly, Affectionate, Playful",Yes,Vaccinations up to date.,Other cats.,,,Short,44.0,S.A.R.A. Inc.,fourteen_days
299,Jesse,0,0,Kitten,Domestic Short Hair,Orange & White,Large,Male,"Friendly, Affectionate, Playful",Yes,Vaccinations up to date.,Other cats.,,,Short,44.0,S.A.R.A. Inc.,fourteen_days
300,Frank,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Large,Male,"Friendly, Affectionate, Playful",Yes,Vaccinations up to date.,Other cats.,,,Short,44.0,S.A.R.A. Inc.,fourteen_days
301,Balboa,6,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Large,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,Short,132.0,S.A.R.A. Inc.,fourteen_days
302,Rhysand,2,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Playful, Independent, Funny, Athletic",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,120.0,Animal Rescue Force,fourteen_days
303,Feyre,3,0,Kitten,Domestic Short Hair & Torbie Mix,Torbie,Medium,Female,"Friendly, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,96.0,Animal Rescue Force,fourteen_days
304,Asriel,3,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$200.00,,Short,96.0,Animal Rescue Force,fourteen_days
305,Espresso,0,0,Young,Domestic Short Hair,Black,Medium,Male,,Yes,Vaccinations up to date.,"Other cats, children.",$200.00,,Short,82.0,Animal Rescue Force,fourteen_days
306,Tessa,0,0,Young,Maine Coon,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$120.00,,Long,94.0,Animal Rescue Force,fourteen_days
307,Mo,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97.0,Animal Rescue Force,fourteen_days
308,Miney,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97.0,Animal Rescue Force,fourteen_days
309,Meenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97.0,Animal Rescue Force,fourteen_days
310,Eenie,0,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,97.0,Animal Rescue Force,fourteen_days
311,Malibu,2,0,Kitten,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",$200.00,,Short,86.0,Animal Rescue Force,fourteen_days
312,Noodles,0,0,Adult,Domestic Short Hair & Calico Mix,Calico,Medium,Female,"Friendly, Affectionate, Playful",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$120.00,,Short,98.0,Animal Rescue Force,fourteen_days
313,Sage & Sinatra,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,Yes,Vaccinations up to date.,,,,Short,47.0,"All About Cats Rescue, Inc",fourteen_days
314,Mercedes,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,Yes,Vaccinations up to date.,,,,,32.0,"All About Cats Rescue, Inc",fourteen_days
315,Bowen,0,0,Kitten,Domestic Short Hair,Smoke,Small,Male,,Yes,Vaccinations up to date.,,,,Short,32.0,"All About Cats Rescue, Inc",fourteen_days
316,Beauty,2,0,Adult,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,,32.0,"All About Cats Rescue, Inc",fourteen_days
317,Bacall,0,0,Kitten,Domestic Short Hair,Black,Small,Male,,Yes,Vaccinations up to date.,,,,Short,32.0,"All About Cats Rescue, Inc",fourteen_days
318,Rosie,0,0,Kitten,Domestic Medium Hair,Black & White / Tuxedo,Small,Female,,Yes,Vaccinations up to date.,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days
319,Rocky,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Male,,Yes,Vaccinations up to date.,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days
320,Bacall,0,0,Kitten,Domestic Short Hair,Black,Small,Male,,Yes,Vaccinations up to date.,,,,Short,32.0,"All About Cats Rescue, Inc",fourteen_days
321,Rosie,0,0,Kitten,Domestic Medium Hair,Black & White / Tuxedo,Small,Female,,Yes,Vaccinations up to date.,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days
322,Rocky,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Male,,Yes,Vaccinations up to date.,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days
323,Reese,0,0,Kitten,Domestic Medium Hair,Black,Small,Female,,Yes,Vaccinations up to date.,,,,,32.0,"All About Cats Rescue, Inc",fourteen_days
324,Regan,0,0,Kitten,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Small,Female,,Yes,Vaccinations up to date.,,,,,32.0,"All About Cats Rescue, Inc",fourteen_days
325,Roxanne,2,0,Kitten,Domestic Medium Hair,Dilute Calico,Small,Female,,Yes,Vaccinations up to date.,,,,Medium,32.0,"All About Cats Rescue, Inc",fourteen_days
326,Brent,6,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Had 1 eye surgically removed on 09/03/2021.",,,,,114.0,Pets4Luv Foundation,fourteen_days
327,Lance,0,0,Adult,Domestic Short Hair Mix,Orange & White,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,131.0,Pets4Luv Foundation,fourteen_days
328,Gizmo,3,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,Yes,Vaccinations up to date.,,,,Short,86.0,Bobbi & the Strays,fourteen_days
329,STRIPER - A Bit of a Scaredy Cat!,0,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Small,Male,"Friendly, Gentle, Loyal, Smart, Curious, Independent, Quiet, Dignified",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,200.0,Edison Municipal Animal Shelter,fourteen_days
330,SPOT - Lovely Kitty,0,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Small,Male,"Friendly, Curious, Independent, Gentle, Quiet, Dignified, Couch potato",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,194.0,Edison Municipal Animal Shelter,fourteen_days
331,CHEESE IT - Very Playful!,0,0,Kitten,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Brave, Curious, Independent, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.98,,Short,198.0,Edison Municipal Animal Shelter,fourteen_days
332,RUFFLES - Very Outgoing Girl!,0,0,Young,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$100.00,,Short,223.0,Edison Municipal Animal Shelter,fourteen_days
333,NELSON - Sweet Boy,4,0,Young,Tuxedo & Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Curious, Funny, Athletic, Loves kisses",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$100.00,,Short,241.0,Edison Municipal Animal Shelter,fourteen_days
334,SCRABBLE - Sweetie,0,0,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Small,Female,"Friendly, Gentle, Affectionate, Quiet, Funny, Independent, Curious",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$99.98,,Short,350.0,Edison Municipal Animal Shelter,fourteen_days
335,BLACK JACK - Adorable Girl!,3,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Dignified",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$100.00,,Short,353.0,Edison Municipal Animal Shelter,fourteen_days
336,Double Bubble - Sweet and Shy Boy,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Gentle, Playful, Smart, Curious, Independent, Funny, Athletic",Yes,"Spayed / neutered, special needs.",Other cats.,,,Short,355.0,Edison Municipal Animal Shelter,fourteen_days
337,JESSUP - Very Loving Boy,2,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Gentle, Loyal, Playful, Smart, Curious, Loves kisses, Funny",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",$99.97,,Short,355.0,Edison Municipal Animal Shelter,fourteen_days
338,PIPER - Shy and Sweet!,0,0,Adult,Domestic Short Hair,Black,Medium,Female,"Friendly, Gentle, Independent, Quiet, Dignified, Couch potato",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,235.0,Edison Municipal Animal Shelter,fourteen_days
339,PARSNIP - Quiet Boy!,0,0,Adult,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Large,Male,"Gentle, Independent, Quiet, Dignified, Couch potato",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",Short,204.0,Edison Municipal Animal Shelter,fourteen_days
340,Andy,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",Yes,Vaccinations up to date.,,,,Short,80.0,Kat Connection,fourteen_days
341,Ashley,0,0,Kitten,Russian Blue Mix,Gray / Blue / Silver,Medium,Female,"Friendly, Affectionate, Loyal, Playful, Gentle",Yes,Vaccinations up to date.,,,,Short,75.0,Kat Connection,fourteen_days
342,Dillon,0,0,Kitten,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",Yes,Vaccinations up to date.,,,,Short,78.0,Kat Connection,fourteen_days
343,Jasper,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",Yes,Vaccinations up to date.,,,,Short,76.0,Kat Connection,fourteen_days
344,Noah,0,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Loyal, Playful, Gentle",Yes,Vaccinations up to date.,,,,Short,76.0,Kat Connection,fourteen_days
