Pink,4,0,Adult,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,Loving Playful Curious,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,270,Big Hands Little Paws,30+,No
Panther,5,0,Kitten,Domestic Short Hair,Black,Small,Female,Loving Playful Curious Bonded,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,287,Big Hands Little Paws,30+,No
Cindy,6,0,Young,Domestic Short Hair,Lilac Point,Medium,Female,"Sweet, Playful, Friendly, Gentle, Curious, Independent, Dignified, Quiet, Funny, Smart",,Yes,"Vaccinations up to date, spayed / neutered.",,,Children.,Short,115,Ready For Rescue,30+,No
Zoomie,5,1,Senior,Tabby & Domestic Short Hair Mix,Orange / Red,Medium,Male,"Sweet, Affectionate, Loving, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Zoomie is on medication twice a day to help him go to the bathroom regularly. He takes his medication very easily, like a very good boy. His medications keep things smooth sailing!.",,,Children.,Short,176,Ready For Rescue,30+,No
Timmy,6,0,Senior,Domestic Short Hair,Black,Medium,Male,"Playful, Affectionate, Loving, Cuddly, Friebndly, Friendly, Smart, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",Dogs.,,"Other cats, children.",Short,137,Ready For Rescue,30+,No
Tempeh & Tofu,2,0,Kitten,Domestic Short Hair & Siamese Mix,White,Medium,Female,"fun, curiuos, friendly, playful, Friendly, Affectionate, Playful, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,156,RescueNYC,30+,No
Cinnamon,0,0,Adult,Domestic Short Hair,Calico,Medium,Female,"calm, quiet, playful, beautiful",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Cinnamon will need a patient adopter who will give her time to adjust to her new home.",,,,Short,89,RescueNYC,30+,No
Tofu & Tempeh,3,0,Kitten,Domestic Short Hair & Siamese Mix,White,Medium,Female,"fun, curiuos, friendly, playful, Friendly, Affectionate, Playful, Curious",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,156,RescueNYC,30+,No
Tuxie,2,0,Adult,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"affectionate, playful, social, confident, talkative",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs.",Short,109,RescueNYC,30+,No
Dumpling,2,0,Adult,Russian Blue & Domestic Short Hair Mix,Gray / Blue / Silver,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",Dogs.,,Children.,257,Social Tees Animal Rescue Foundation,30+,No
John,2,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,275,Social Tees Animal Rescue Foundation,30+,No
Jade,4,1,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Loving, Playful",,Yes,Vaccinations up to date.,Other cats.,$150.00,,Short,97,Fur Real,30+,No
Oliver,5,1,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Affectionate, Cuddly",,Yes,Vaccinations up to date.,"Other cats, children.",$150.00,,Short,101,Fur Real,30+,No
Yaqui,4,1,Kitten,Domestic Short Hair,Gray & White,Medium,Male,"Playful, Active, Loving",,Yes,Vaccinations up to date.,"Other cats, children.",$150.00,,Short,117,Fur Real,30+,No
Olivia,5,1,Kitten,Domestic Short Hair,Gray / Blue / Silver,Medium,Female,"Cuddly, Affectionate",,Yes,Vaccinations up to date.,"Other cats, children.",$150.00,,Short,128,Fur Real,30+,No
Ruby,5,1,Adult,Calico,Calico,Medium,Female,"Smart, Playful, Active, Cuddly, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,$200.00,"Other cats, dogs.",Short,368,Fur Real,30+,No
Koala Bear,6,0,Adult,Domestic Short Hair,Black,Medium,Male,"Calm, Friendly, Wellmannered",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$150.00,,Short,237,Fur Real,30+,No
Momma,6,0,Young,Tabby Mix,Tabby (Brown / Chocolate),Medium,Female,"Loving, Calm",,Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Other cats, dogs.",Short,272,Fur Real,30+,No
Tito,6,0,Young,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,"Playful, Shy, Affectionate, Quiet, Calm",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,161,Fur Real,30+,No
Felix,5,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Cuddly, Adventurous, Playful, Snuggly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Blind.",,$150.00,,Short,385,Fur Real,30+,No
Papa Veselka,3,0,Young,Domestic Medium Hair,,Medium,Male,,,Yes,Spayed / neutered.,"Dogs, children.",,,172,Brooklyn Bridge Animal Welfare Coalition,30+,No
Judy Garland,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,Spayed / neutered.,,,"Other cats, dogs, children.",89,Brooklyn Bridge Animal Welfare Coalition,30+,No
Stroopwafel,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,574,Brooklyn Bridge Animal Welfare Coalition,30+,No
Morse,3,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,"Other cats, children.",297,Brooklyn Bridge Animal Welfare Coalition,30+,No
Jenny Diver,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,111,Brooklyn Bridge Animal Welfare Coalition,30+,No
Cannoli & Spumoni,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,,"Other cats, dogs, children.",,,104,Brooklyn Bridge Animal Welfare Coalition,30+,No
Prince Harry,3,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,Spayed / neutered.,Children.,,,257,Brooklyn Bridge Animal Welfare Coalition,30+,No
Toby Wan Kenobi & Garth Vader,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,,"Other cats, dogs.",,,155,Brooklyn Bridge Animal Welfare Coalition,30+,No
Yin,3,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,127,Brooklyn Bridge Animal Welfare Coalition,30+,No
Benny & C-Note,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,,"Other cats, dogs, children.",,,360,Brooklyn Bridge Animal Welfare Coalition,30+,No
Cady & Gretchen,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,478,Brooklyn Bridge Animal Welfare Coalition,30+,No
Pink & Poo,3,0,Young,Domestic Short Hair,Black,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,100,Brooklyn Bridge Animal Welfare Coalition,30+,No
Local Honey,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,148,Brooklyn Bridge Animal Welfare Coalition,30+,No
Pioneer Helen,3,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.",Other cats.,,,171,Brooklyn Bridge Animal Welfare Coalition,30+,No
Royalti,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,220,Brooklyn Bridge Animal Welfare Coalition,30+,No
Cutie,3,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, children.",,,199,Brooklyn Bridge Animal Welfare Coalition,30+,No
Kalu,3,0,Adult,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,180,Brooklyn Bridge Animal Welfare Coalition,30+,No
Princess,0,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,165,Brooklyn Bridge Animal Welfare Coalition,30+,No
Paddington & Rebecca Cunningham,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,372,Brooklyn Bridge Animal Welfare Coalition,30+,No
Bowie,3,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,199,Brooklyn Bridge Animal Welfare Coalition,30+,No
Leon Kennedy & Chris Redfield,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,,"Other cats, dogs, children.",,,198,Brooklyn Bridge Animal Welfare Coalition,30+,No
Vex & Irk,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,,"Other cats, dogs, children.",,,169,Brooklyn Bridge Animal Welfare Coalition,30+,No
Gracie & Olive,3,0,Young,Domestic Short Hair Mix,Orange / Red,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,212,Brooklyn Bridge Animal Welfare Coalition,30+,No
Bedlam & Lassie,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,222,Brooklyn Bridge Animal Welfare Coalition,30+,No
Baguette,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,174,Brooklyn Bridge Animal Welfare Coalition,30+,No
Son of Quester,2,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,Children.,,Other cats.,119,Brooklyn Bridge Animal Welfare Coalition,30+,No
Phoebe,3,0,Adult,Domestic Short Hair,,Small,Female,,,Yes,Spayed / neutered.,Other cats.,,,139,Brooklyn Bridge Animal Welfare Coalition,30+,No
Rocky,3,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,204,Brooklyn Bridge Animal Welfare Coalition,30+,No
Luke,3,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Large,Male,,,Yes,Spayed / neutered.,,,"Other cats, dogs, children.",391,Brooklyn Bridge Animal Welfare Coalition,30+,No
Chip & Dip,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,157,Brooklyn Bridge Animal Welfare Coalition,30+,No
King Kong,3,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,Spayed / neutered.,,,"Other cats, dogs, children.",158,Brooklyn Bridge Animal Welfare Coalition,30+,No
Elvis & Ember,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,247,Brooklyn Bridge Animal Welfare Coalition,30+,No
Miso & Nori,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,262,Brooklyn Bridge Animal Welfare Coalition,30+,No
Hotcake,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,106,Brooklyn Bridge Animal Welfare Coalition,30+,No
Grandma,0,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,127,Brooklyn Bridge Animal Welfare Coalition,30+,No
Lily Orange,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,,,"Other cats, dogs, children.",189,Brooklyn Bridge Animal Welfare Coalition,30+,No
Fracas & Tussle,3,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,,"Other cats, dogs, children.",,,186,Brooklyn Bridge Animal Welfare Coalition,30+,No
Sir Lady Jane,3,0,Young,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,Children.,179,Brooklyn Bridge Animal Welfare Coalition,30+,No
Papi,3,0,Young,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,154,Brooklyn Bridge Animal Welfare Coalition,30+,No
Leon,3,0,Young,Domestic Short Hair,Black,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs, children.",,,189,Brooklyn Bridge Animal Welfare Coalition,30+,No
Yeti,3,0,Young,Domestic Short Hair,Orange / Red,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs.",,,141,Brooklyn Bridge Animal Welfare Coalition,30+,No
Boots,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Spayed / neutered.,"Other cats, dogs.",,,306,Brooklyn Bridge Animal Welfare Coalition,30+,No
Ardilla,3,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,97,KittyKind,30+,No
Love and Hope,5,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,,,,,66,KittyKind,30+,No
Olivia,0,0,Kitten,Domestic Short Hair,,Medium,Female,,,Yes,Vaccinations up to date.,,,,51,KittyKind,30+,No
Hope and Love,4,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,,,,,65,KittyKind,30+,No
Buttercup: Courtesy Post,6,0,Adult,Domestic Short Hair,,Small,Female,,,Yes,Spayed / neutered.,,,,153,KittyKind,30+,No
KITTENS!,5,0,Kitten,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,139,KittyKind,30+,No
Meg,6,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,Other cats.,82,KittyKind,30+,No
Snuggles and Pepper: courtesy post,0,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, declawed.",,,,69,KittyKind,30+,No
Pepper and Snuggles: courtesy post,0,0,Senior,Domestic Short Hair,,Medium,Male,,,Yes,"Spayed / neutered, declawed.",,,,69,KittyKind,30+,No
Turtle,6,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,222,KittyKind,30+,No
April,5,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,203,KittyKind,30+,No
Montezuma: Courtesy Post,5,0,Senior,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,107,KittyKind,30+,No
Lily: Courtesy Post,2,0,Young,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,,,,143,KittyKind,30+,No
Ranger: Courtesy Post,4,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,52,KittyKind,30+,No
Ava and Daniel: Courtesy Post,6,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,,,,133,KittyKind,30+,No
Daniel and Ava: Courtesy Post,6,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,133,KittyKind,30+,No
Roy: Courtesy Post,4,0,Senior,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,287,KittyKind,30+,No
Sweet Shadow: Courtesy Post,5,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,157,KittyKind,30+,No
Rufus,3,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,141,KittyKind,30+,No
Obi Wan,2,0,Senior,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,167,KittyKind,30+,No
Vasily,3,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,Spayed / neutered.,,,,179,KittyKind,30+,No
Rosalita: Courtesy Post,6,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,Spayed / neutered.,,,,46,KittyKind,30+,No
Cinnabun (and Tigress),6,0,Senior,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,190,KittyKind,30+,No
Tigress (and Cinnabon),6,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,190,KittyKind,30+,No
Monkey,2,0,Senior,Domestic Short Hair Mix,Tortoiseshell,Medium,Female,"Loving, Sweet, Likes to be pet, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",Short,154,Companion Animal Placement,30+,No
Hilo,0,0,Adult,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Female,"Smart, Playful, Independent",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",Short,96,Companion Animal Placement,30+,No
Maya,6,0,Adult,American Shorthair & Tabby Mix,Tabby (Brown / Chocolate),Small,Female,"Affectionate, Friendly, Gentle, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",Short,357,Pad Paws Rescue,30+,No
Bali,5,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Medium,Male,"High energy, playful, lovable, active, friendly, outgoing, smart",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,Children.,Short,115,Jersey Tails,30+,No
Orange,4,1,Kitten,Domestic Short Hair Mix,Black,Small,Male,"Friendly, Smart, Funny, Athletic, Playful",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,221,PupStarz Rescue,30+,No
Purple,5,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,", Friendly, Smart, Playful, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,226,PupStarz Rescue,30+,No
Green,4,0,Kitten,Domestic Short Hair Mix,Black,Small,Male,", Friendly, Funny, Athletic, Playful, Smart",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,220,PupStarz Rescue,30+,No
Jacalyn,4,0,Kitten,Domestic Short Hair Mix,Tabby (Buff / Tan / Fawn),Small,Female,", Friendly, Playful, Affectionate, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,95,PupStarz Rescue,30+,No
Jack,6,0,Kitten,Domestic Short Hair Mix,Tabby (Buff / Tan / Fawn),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,298,PupStarz Rescue,30+,No
Bodhi,6,0,Young,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,"Friendly, Affectionate, Playful, Smart, Curious, Independent, Funny, Athletic, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,169,Empty Cages Collective,30+,No
Ruby,2,0,Senior,Domestic Short Hair,Black,Small,Female,"Tiny, Loves other cats, Loves to be petted, Calm, Senior, Tongue peeks out, Cute, Rescues Rock",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,Short,227,North Brooklyn Cats,30+,No
Owen,3,0,Senior,Domestic Short Hair,Tabby (Brown / Chocolate),Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,Other cats.,Short,87,North Brooklyn Cats,30+,No
Clawdia,5,0,Young,American Shorthair,Black,Medium,Female,"Friendly, Curious, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,88,For Animals Inc. - Shelter,30+,No
Scarlett & Bessela,5,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Buff / Tan / Fawn),Medium,Female,"loving, affectionate, sweet",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,170,For Animals Inc. - Shelter,30+,No
Helen,3,0,Senior,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Medium,Female,"affectionate, outgoing, social, loving, lap cat",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,193,For Animals Inc. - Shelter,30+,No
Windsor,5,1,Young,Domestic Short Hair,Orange & White,Medium,Male,"playful, curious, intelligent, friendly, clever, michievous",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,Children.,Short,152,For Animals Inc. - Shelter,30+,No
Bruce,6,0,Young,Tabby & Domestic Short Hair Mix,Tabby (Brown / Chocolate),Medium,Male,"Affectionate, Playful, Happy",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,220,For Animals Inc. - Shelter,30+,No
Vanilla Vulture,3,0,Kitten,Domestic Short Hair Mix,Black,Small,Female,,,Yes,Vaccinations up to date.,"Other cats, dogs, children.",,,Short,,Liberty Humane Society,30+,No
Momcat C FEE WAIVED,3,1,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,", Affectionate, Loyal, Friendly, Protective, Brave, Curious, Independent, Loves kisses, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,149,Liberty Humane Society,30+,No
Tostitos (SPECIAL BEHAVIOR NEEDS) FEE WAIVED,2,1,Adult,Domestic Short Hair Mix,Black,Medium,Male,", Independent, Dignified",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,"Dogs, children.",Short,419,Liberty Humane Society,30+,No
Sylvester FEE WAIVED,5,1,Adult,Domestic Short Hair,Black & White / Tuxedo,Large,Male,", Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Protective, Brave, Curious, Couch potato, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,181,Liberty Humane Society,30+,No
"Larry, Curly & Mo",4,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,112,"Tails of Love Animal Rescue, Inc.",30+,No
Kittens Kittens Kittens,3,0,Kitten,Domestic Short Hair,Black,Small,Female,,,Yes,Vaccinations up to date.,,,,Short,100,"Tails of Love Animal Rescue, Inc.",30+,No
Negrita,6,0,Adult,Domestic Short Hair,Black,Small,Female,"Sugar Sweet and Petite, Darling Bud, Purr machine",,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV Positive.",Dogs.,,,Short,208,"Tails of Love Animal Rescue, Inc.",30+,No
Midnight,6,0,Young,Domestic Short Hair,Black,Medium,Male,"Dark, Handsome, Shy, Loving",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,143,"Tails of Love Animal Rescue, Inc.",30+,No
Samantha,0,0,Senior,Domestic Short Hair,Gray & White,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs.",,,,Final Hope Animal Rescue and Sanctuary,30+,No
Sara,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Eye issue.","Other cats, dogs.",,,81,Final Hope Animal Rescue and Sanctuary,30+,No
Frankie (Ava),2,0,Adult,Domestic Short Hair & Tabby Mix,,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,,Final Hope Animal Rescue and Sanctuary,30+,No
Emma,5,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,Spayed / neutered.,Other cats.,,,39,Final Hope Animal Rescue and Sanctuary,30+,No
Weezie,3,0,Senior,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,,,Yes,Spayed / neutered.,"Other cats, dogs.",,,5,Final Hope Animal Rescue and Sanctuary,30+,No
Sweet Pea,3,0,Senior,Domestic Medium Hair,Black,Large,Male,,,Yes,Spayed / neutered.,Other cats.,,,,Final Hope Animal Rescue and Sanctuary,30+,No
Miami,0,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,,Final Hope Animal Rescue and Sanctuary,30+,No
Sabby,0,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,29,Final Hope Animal Rescue and Sanctuary,30+,No
Tessa,6,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,,,Yes,"Spayed / neutered, special needs. FIV+.",Other cats.,,,45,Final Hope Animal Rescue and Sanctuary,30+,No
Lola,0,0,Adult,Domestic Short Hair,,Small,Female,,,Yes,Spayed / neutered.,Other cats.,,,,Final Hope Animal Rescue and Sanctuary,30+,No
Carla,4,0,Adult,Domestic Short Hair & Calico Mix,,Large,Female,,,Yes,"Spayed / neutered, special needs. FELV+.",Other cats.,$175.00,,27,Final Hope Animal Rescue and Sanctuary,30+,No
James,5,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Spayed / neutered, special needs. Felv+.",Other cats.,,,31,Final Hope Animal Rescue and Sanctuary,30+,No
Shamrock,0,0,Adult,Domestic Short Hair,Gray / Blue / Silver,Medium,Male,,,Yes,Spayed / neutered.,Other cats.,,,,Final Hope Animal Rescue and Sanctuary,30+,No
Mama,2,0,Senior,Domestic Short Hair & Calico Mix,Gray & White,Large,Female,,,Yes,Spayed / neutered.,"Other cats, dogs.",,,,Final Hope Animal Rescue and Sanctuary,30+,No
Lucky,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,,,Yes,"Spayed / neutered, special needs. heart issue.",Other cats.,,,44,Final Hope Animal Rescue and Sanctuary,30+,No
Spam,6,0,Kitten,American Shorthair,Tabby (Gray / Blue / Silver),Small,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,Short,134,Whiskers-aGoGo Inc,30+,No
King Meow,4,0,Adult,Domestic Short Hair Mix,Black,Large,Male,"Friendly, Loyal, Gentle, Dignified",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,270,Whiskers-aGoGo Inc,30+,No
