Dougie,5,1,Senior,Domestic Short Hair,,Medium,Female,,,,"Spayed / neutered, special needs.",,,,362,City Critters Inc.,30+,Special Needs 30+
Elias,6,1,Adult,Domestic Short Hair,,Medium,Male,,,,"Spayed / neutered, special needs.",,,,168,City Critters Inc.,30+,Special Needs 30+
Rocco,0,0,Adult,Domestic Short Hair,Orange / Red,Medium,Male,,,Yes,"Spayed / neutered, special needs. Rocco is FIV positive, that doesn't mean he cannot live a long healthy life, he can live with non FIV cats as well.",,,,84,Neighborhood Cats Inc.,30+,Special Needs 30+
puddles,3,0,Young,Domestic Short Hair & Tabby Mix,Gray & White,Small,Female,,,,"Special needs. yes, has pull tail ingury needs bladder expressed.",Other cats.,,,94,Puppy Kitty NY City,30+,Special Needs 30+
tessa CH (bonded Lola),0,0,Young,Domestic Short Hair,Black & White / Tuxedo,Small,Female,,,,"Spayed / neutered, special needs. CH.",Other cats.,,,118,Puppy Kitty NY City,30+,Special Needs 30+
janey,4,0,Adult,Tabby,Tabby (Buff / Tan / Fawn),Small,Female,,,,"Spayed / neutered, special needs. Has urine leakage since being hit by a car.",,,,159,Puppy Kitty NY City,30+,Special Needs 30+
avalache,4,0,Adult,Domestic Short Hair,White,Small,Male,,,Yes,"Spayed / neutered, special needs. on Prozac for anxiety, may be other cat related.",,,"Other cats, dogs.",168,Puppy Kitty NY City,30+,Special Needs 30+
Baxter,3,0,Adult,Domestic Short Hair Mix,Orange & White,Medium,Male,,,,"Vaccinations up to date, spayed / neutered, special needs. See below description for more information on Baxter and why he required a special, patient adopter.",Other cats.,,"Dogs, children.",Short,183,Puppy Kitty NY City,30+,Special Needs 30+
Nori,4,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, special needs.",Dogs.,,,22,Lawns to Laps Cat Rescue,30+,Special Needs 30+
Lady,5,0,Adult,Domestic Medium Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,$125.00,"Dogs, children.",22,Lawns to Laps Cat Rescue,30+,Special Needs 30+
Ricardo,0,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"playful, clumbsy, handsome, active, charming, smart, Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Brave, Curious, Independent, Funny, Dignified, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Dogs, other animals. Friendly Dogs and other cats with more submissive personalities.",$100.00,,Short,133,"Inky Blue Sea Companion Animal Rescue,…",30+,Special Needs 30+
Baby Nives,4,0,Kitten,Tabby,Tabby (Brown / Chocolate),Medium,Female,"Friendly, Affectionate, Playful, Athletic, initially shy",,Yes,"Vaccinations up to date, special needs.","Other cats, dogs, children.",$150.00,,Short,98,NYC Teens for Animals,30+,Special Needs 30+
SOPHIE,4,1,Kitten,Domestic Short Hair & Tabby Mix,Tabby (Gray / Blue / Silver),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$100.00,,166,Cypress Feline Rescue,30+,Special Needs 30+
GIMPY,5,1,Young,Domestic Medium Hair & Siamese Mix,Seal Point,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Children, other animals. Gimpy seems to growl at other cats near her so she may be better as an only cat.",$150.00,Other cats.,Short,190,Cypress Feline Rescue,30+,Special Needs 30+
Iris L (FeLV+),6,0,Young,Domestic Short Hair,Black,Medium,Female,"loving, affectionate, sweet, felv",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Iris is an FeLV+ (Feline Leukemia positive) kitty. FeLV is a viral infection of cats (ONLY) that can impair a cat's immune system and cause certain types of cancers. There is no cure for FeLV, so most treatment of FeLV-positive cats involves supportive care. Most cats with FeLV live normal lives, but their life span tends to be shorter. Still, adult cats can live many healthy years with the illness.",Children.,,,Short,402,Bronx Tails Cat Rescue,30+,Special Needs 30+
Sprinkles,3,0,Young,Domestic Long Hair,White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Special diet due to his allergies.","Other cats, dogs, children.",,,Long,339,Louie's Legacy Animal Rescue,30+,Special Needs 30+
"Domino, Soul in Need of Rescue",4,0,Adult,American Shorthair & Domestic Medium Hair Mix,Black & White / Tuxedo,Medium,Male,Sad,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Boy with one leg.",,,,Medium,69,Forever Animal Rescue Inc.,30+,Special Needs 30+
Hayley,5,0,Adult,Domestic Short Hair,Gray & White,Large,Female,"Loving, Sweet, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Tripod - back left leg had to be amputated. Doesn't affect her mobility at all.","Other cats, children.",,,Short,195,R and M Rockin' Rescues,30+,Special Needs 30+
Hunk,4,0,Adult,Tuxedo,Black & White / Tuxedo,Large,Male,"Loving, Sweet, Playful, Extremely social",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,42,R and M Rockin' Rescues,30+,Special Needs 30+
Cindy Lou Who,2,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Medium,Female,"Loving, Playful, Active, Sweet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Cindy Lou has food allergies and can only eat Royal Canin Limited Protein rabbit wet and dry food. Otherwise, she in good health.","Other cats, dogs.",,Children.,Short,108,R and M Rockin' Rescues,30+,Special Needs 30+
Kingston,3,0,Adult,Domestic Short Hair,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Special food.","Other cats, dogs, children.",$50.00,,101,Second Chance Rescue,30+,Special Needs 30+
Lady Doe,4,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"snuggly, loving, playful, quirky, easygoing, communicative",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Lady Doe is an FIV+ cat - but do NOT worry. She will live a long, happy, healthy life just like any non-FIV cat with proper care. That just means she must be in an indoor only home, and make sure she goes to her annual vet visits. FAQ: FIV CANNOT be spread to other species. FIV can only be spread to other cats through deep bite wounds and reproduction. FIV weakens the immune system, so keep cat indoors ONLY. A FIV cat can live as long and healthy of a life as a non-FIV cat as long as you are diligent about their medical care (as you should be for a non-FIV cat, too, TBH). You can learn more about FIV here: https://vbspca.com/what-you-should-know-when-adopting-an-fiv-positive-cat/ https://www.vet.cornell.edu/departments-centers-and-institutes/cornell-feline-health-center/health-information/feline-health-topics/feline-immunodeficiency-virus-fiv.",,$150.00,"Dogs, children.",Short,296,Cat Castle NYC,30+,Special Needs 30+
Rubin,5,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"gentle, loving, easygoing, curious, handsome, cuddly, laid back, Friendly, Affectionate, zoomie, snuggly",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",$150.00,,Short,158,Cat Castle NYC,30+,Special Needs 30+
Frankie & Grace,6,0,Senior,Domestic Short Hair,Black,Medium,Female,"Gentle, Sweet, Calm",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Frankie and Grace are on a specialized diet for UTI. No medications.",,,,Short,153,Homeless Animal Adoption League,30+,Special Needs 30+
Keats,2,0,Adult,Domestic Short Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Allergies and asthma. No particular care needs now but might need it in the future.",Other cats.,,,Short,166,Homeless Animal Adoption League,30+,Special Needs 30+
Liddy,6,0,Adult,Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,"Calm, Sweet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Sweet Liddy has arthritis now. She only takes a supplement for now but it's difficult for her to move around.",,,,Short,134,Homeless Animal Adoption League,30+,Special Needs 30+
Heidi *special needs*,3,0,Adult,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Stiff walking- can’t jump or go up / down stairs. Falls in litter box- needs to be bathed often.","Other cats, dogs, other animals. Good with all other pets.",,,Medium,252,Yellow Brick Road Rescue NJ,30+,Special Needs 30+
Cinnamon,3,0,Senior,Domestic Short Hair Mix,,Large,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,Dogs.,61,The Animal Project,30+,Special Needs 30+
Harvey,6,0,Adult,Domestic Short Hair,Orange / Red,Medium,Male,"Sweet, Cute, Gentle, Loving",,Yes,"Vaccinations up to date, spayed / neutered, special needs. He needs someone who can understand his body clues and give him time and patience to adjust to the new house.",,,"Other cats, children.",Short,272,Homeless Animal Adoption League,30+,Special Needs 30+
Ollie-O,4,1,Adult,American Shorthair,Black,Medium,Male,"Pleasant, companionable, mellow, curious",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, children.",,,348,daps animals,30+,Special Needs 30+
VERY URGENT! Checkers needs a foster!,6,0,Young,Domestic Short Hair Mix,Black & White / Tuxedo,Medium,Male,"loving, playful, sweet",,Yes,"Spayed / neutered, special needs.",,,,Short,430,daps animals,30+,Special Needs 30+
Hester,3,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Spayed / neutered, special needs.",Other cats.,,,208,Give Me Shelter Project,30+,Special Needs 30+
Winston,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,,,,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,23,Give Me Shelter Project,30+,Special Needs 30+
Tonka,3,0,Young,Tuxedo,,Medium,Male,,,Yes,"Spayed / neutered, special needs.",Other cats.,,,96,Give Me Shelter Project,30+,Special Needs 30+
Lexi,6,0,Adult,American Shorthair,Calico,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Children.,$175.00,"Other cats, dogs.",Short,50,Miss Pats Cats,30+,Special Needs 30+
Buffy,2,0,Adult,American Shorthair,Buff / Tan / Fawn,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,Other cats.,Short,32,Miss Pats Cats,30+,Special Needs 30+
Olive,2,0,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs.",,,Short,145,Save The Animals Rescue Team II,30+,Special Needs 30+
Fluffy,3,0,Senior,Domestic Long Hair Mix,Tabby (Gray / Blue / Silver),Medium,Male,,,,"Vaccinations up to date, spayed / neutered, special needs. Semi - incontinent.",Other cats.,,,Long,164,Staten Island Hope Animal Rescue,30+,Special Needs 30+
Sprout,6,0,Kitten,Domestic Short Hair,Orange & White,Small,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Children.,$175.00,Dogs.,Short,214,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Star,6,0,Senior,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Star has minimal vision and hearing.","Other cats, dogs.",,,Short,163,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Joelson,6,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Joelson has stomatitis, a painful inflammation of his mouth and gums. This is an autoimmune condition, and is controlled with a medication called Atopica. He takes the medication well, and it completely controls the problem. It is a medication he needs to remain on for life.",,,,Short,211,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Itsy Bitsy,6,0,Senior,Domestic Short Hair,Gray & White,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Itsy Bitsy is hyperthyroid, which means that his thyroid gland is overactive. His condition is completely controlled by medication, which he eats daily in his food.",,,Children.,Short,194,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Grace,6,0,Senior,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Grace takes medication for hyperthyroidism (over active thyroid). She eats it easily in her food, and her thyroid is well controlled.",,,,151,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Fuzzy Wuzzy,6,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Gray / Blue / Silver),Large,Male,,,Yes,"Spayed / neutered, special needs.",,,Other cats.,Short,177,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Elvis,6,0,Adult,Domestic Short Hair Mix,White,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,"Other cats, dogs.",Short,129,Cameron Animal Hospital Rescue,30+,Special Needs 30+
Felix (Felicidad),5,0,Young,Domestic Short Hair,Black,Large,Male,"Sweet, gentle, affectionate",,Yes,"Vaccinations up to date, spayed / neutered, special needs. This poor fella had his leg amputated after spending several days hanging from a fence. He gets along just fine with his 3 legs.",,,,Short,63,Sammyvale Animal Sanctuary,30+,Special Needs 30+
Midnight,5,1,Adult,Domestic Short Hair,Black,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV positive.",,,,68,Angels of Animals Inc.,30+,Special Needs 30+
Prince (special needs),0,0,Kitten,American Shorthair,Orange / Red,Medium,Male,"Loving, Playful, Active, Affectionate, Friendly, Athletic, kitten, cuddly",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",Other cats.,,,Short,59,Zion's Mission Animal Rescue Inc.,30+,Special Needs 30+
Elle,4,0,Adult,American Shorthair & Domestic Short Hair Mix,Gray & White,Medium,Female,"Loving, sweet, gentle",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Daily medication of Atopica once daily to control her stomatitis and inflammation.",Other cats.,$125.00,,Short,113,Kittens and Barbells Rescue Inc.,30+,Special Needs 30+
Jasmine,5,0,Adult,Domestic Medium Hair,Black,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Jasmine has multiple liver shunts and related neurological issues (blind; tremors). Currently her condition is managed with a low protein diet, Lactulose, and Metronidazole. She needs a home where someone is home most of the time who can monitor her closely for signs that veterinary follow-up is needed.",,,"Other cats, dogs, children.",Medium,181,"Best Friend Dog and Animal Adoption, Inc.",30+,Special Needs 30+
Alice,2,0,Kitten,Domestic Short Hair & Tabby Mix,Gray & White,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Fiv + but does not bite. Lives fine with non fiv.","Other cats, dogs.",,,Short,81,S.A.R.A. Inc.,30+,Special Needs 30+
Benzene,3,0,Adult,Domestic Short Hair & Tiger Mix,Tabby (Tiger Striped),Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Last October 2020, this darlin’ little girl was found emaciated outside of a Philadelphia ( Science) university dorm ( thus the name Benzene)! A compassionate student took her in and sent her home to her mom in New Jersey. From there she received veterinary care and was nursed back to a healthy weight. She is however on thyroid medication which she takes twice a day morning and night. She takes it extremely easily when wrapped in a treat. The vet said that her age is unknown putting her at age 8 or older. She is extremely cuddly and her fur is exceptionally soft unlike any other cat her foster home has seen. Her legs, especially her front legs, appear to be shorter than the average cat which makes her even more adorable. Somewhere along the line she may have been mixed with the Napoleon cat breed. She thrives on being an only cat and seems rather stressed when too many other animals are around. Although friendly and loving with all we’ve noticed a slight preference for men. If you’re looking for a companion and a cuddle buddy, please consider giving this girl your loving home. If interested, please contact Lisa - lisadetown@gmail.com.",Children.,,"Other cats, dogs, other animals.",Short,,S.A.R.A. Inc.,30+,Special Needs 30+
Moonbeam,0,0,Kitten,Domestic Short Hair,Tabby (Tiger Striped),Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Moonbeam has seizures and is currently on medication that we hope to wean him off of eventually.",Other cats.,,,Short,345,Happy Homes Animal Rescue,30+,Special Needs 30+
Valentina (Special Needs),5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Snuggly, Calm, Friendly, Sweet",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Valentina has eyelid agenesis. It’s a birth defect, in which the eyelid is either missing or deformed. It requires drops which she is quite used to, and it's very easy to do.",Children.,,Other cats.,Short,226,Rosemaries Rescue Ranch,30+,Special Needs 30+
Kiwi,0,0,Young,American Shorthair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. He has a 4/6 heart murmur and needs to be on medication.","Other cats, dogs, children.",,,Short,136,Lend-a-Paw Inc.,30+,Special Needs 30+
Gidget & Casper,3,0,Kitten,Domestic Short Hair,White,Medium,Female,,,,"Vaccinations up to date, special needs.",,,,130,CLAWS,30+,Special Needs 30+
Smokey,4,1,Young,Domestic Short Hair,Smoke,Large,Male,Friendly and Loving,,,"Vaccinations up to date, spayed / neutered, special needs. Back leg amputated.",,,,232,CLAWS,30+,Special Needs 30+
Urgent!! Amber Siamese mix NEEDS FOSTER,2,0,Adult,Siamese & Domestic Short Hair Mix,Blue Point,Medium,Female,"Sweet, scared, Gorgeous",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Needs socialization.",Other cats.,,,88,CLAWS,30+,Special Needs 30+
McDreamy,5,0,Adult,Domestic Long Hair,Gray & White,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Feline Leukemia positive.",,,,Medium,77,CLAWS,30+,Special Needs 30+
Macushla,2,1,Adult,Domestic Short Hair,White,Small,Male,,,Yes,"Vaccinations up to date, special needs.",,,,Short,109,CLAWS,30+,Special Needs 30+
Samson,5,1,Young,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV +.",Other cats.,,,Short,185,"Homeless Animal Rescue Team, Inc.",30+,Special Needs 30+
Stout,2,0,Adult,Domestic Short Hair & Tabby Mix,Tabby (Brown / Chocolate),Large,Male,"purr machine, sweet and freindly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Stout is positive for FIV.",Other cats.,,,Short,203,Angel Pets Animal Welfare Society Inc.,30+,Special Needs 30+
zzCourtesy Listing Percy - PLEASE CALL (914) 841-1001.,3,0,Young,American Shorthair,Gray & White,Medium,Male,,,Yes,Special needs. Leg injury.,"Other cats, dogs, children.",,,Short,145,Humane Society of Westchester at New Rochelle,30+,Special Needs 30+
Kissy Face,2,0,Adult,Domestic Short Hair,,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Kissy Face is a 7 yr old female adorableness with diabetes. She recently started insulin treatment and she is easy going with her injections and eats well every single day! Kissy Face needs a diabetic-experienced home to continue her insulin treatment. Kissy Face went through a rough road for a while, but is healthy, strong and on her way to wellness!.",,,,71,Humane Society of Westchester at New Rochelle,30+,Special Needs 30+
Blunder,2,0,Adult,Tabby,Orange & White,Medium,Male,"Affectionate, Friendly",,Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,55,Perth Amboy Animal Shelter,30+,Special Needs 30+
Jojo,2,1,Adult,Domestic Short Hair & Tabby Mix,,Medium,Male,"loving, affectionate, friendly",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Jojo has stomatitis and had his teeth removed. He will likely need medication on a regular basis, but he is very easy to medicate!.","Other cats, dogs, children.",,,Short,81,"Fur Friends In Need, Inc.",30+,Special Needs 30+
Percy,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"Friendly, Affectionate, Playful",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,Dogs.,Short,137,Cat Assistance Inc.,30+,Special Needs 30+
Trooper,2,1,Young,Domestic Short Hair,Tabby (Gray / Blue / Silver),Medium,Male,,,,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs.",,,Short,356,Bobbi & the Strays,30+,Special Needs 30+
Emergency Checkers needs a home/foster! Losing foster home!,5,1,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"sweet, playful, loving, smart",,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,565,S.A.R.A. Inc.,30+,Special Needs 30+
Marnie,4,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Loving, gentle, attentive, sweet adorable",,Yes,"Vaccinations up to date, spayed / neutered, special needs. Needs liquid oral meds every other day for allergies.","Other cats, children.",,,Short,111,S.A.R.A. Inc.,30+,Special Needs 30+
RUSTY,3,0,Adult,Domestic Short Hair,Tabby (Orange / Red),Medium,Male,"SWEET, GENTLE",,Yes,"Vaccinations up to date, spayed / neutered, special needs. RUSTY is FIV positive. He is in great condition, perhaps a little chubby, but is in excellent health. RUSTY needs a great home where he will have excellent nutrition and care. FIV cats can live a normal life. The only way FIV is transmitted is when saliva enters the bloodstream via a bite wound. RUSTY is demure and sweet. He has been at NFFAR for over a year and has never had a scuffle with another cat. He gets along well with all of our other cats. Don't let FIV scare you away from this wonderful boy. He will reward you with love and companionship!.",Other cats.,,,Short,174,The National Foundation for Animal Rescue,30+,Special Needs 30+
Aspen,0,0,Young,Tabby,,Small,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs. FIV+.",,,,Short,92,Alan Purcell Wayne Township Animal Shelter,30+,Special Needs 30+
Free-Roamers,3,0,Adult,Domestic Short Hair Mix,,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,213,Lawyers In Defense of Animals (LIDA),30+,Special Needs 30+
